device	time	BATCH_CREATE	BATCH_UPDATE	BATCH_READ	BATCH_ACCESS	BATCH_DELETE
Android SDK built for x86	2017-06-02 08:15:49	2529	2734	198	6	23	
Android SDK built for x86	2017-06-02 08:15:55	2109	3161	285	8	7	
Android SDK built for x86	2017-06-02 08:16:01	1652	2789	194	8	6	
Android SDK built for x86	2017-06-02 08:16:06	1566	2789	232	6	23	
Android SDK built for x86	2017-06-02 08:16:12	1507	2761	232	6	22	
Android SDK built for x86	2017-06-02 08:16:17	1498	2715	367	6	11	
Android SDK built for x86	2017-06-02 08:16:22	1602	2639	216	8	21	
Android SDK built for x86	2017-06-02 08:16:27	1561	3012	249	7	7	
Android SDK built for x86	2017-06-02 08:23:01	6927	5332	341	7	25	
Android SDK built for x86	2017-06-02 08:23:14	2756	3434	238	7	22	
Android SDK built for x86	2017-06-02 08:23:21	1601	2781	302	9	8	
Android SDK built for x86	2017-06-02 08:23:26	2045	2777	253	8	20	
Android SDK built for x86	2017-06-02 08:23:32	1715	5176	375	7	22	
Android SDK built for x86	2017-06-02 08:23:40	2583	2989	596	13	13	
Android SDK built for x86	2017-06-02 08:23:47	1997	4170	370	19	7	
Android SDK built for x86	2017-06-02 08:23:54	1940	3885	656	6	27	
Android SDK built for x86	2017-06-02 12:56:25	5163	5822	322	8	8	
Android SDK built for x86	2017-06-02 12:56:37	1987	3545	220	6	58	
Android SDK built for x86	2017-06-02 12:56:43	2121	4077	293	7	5	
Android SDK built for x86	2017-06-02 12:56:50	2023	2574	198	7	7	
Android SDK built for x86	2017-06-02 12:56:56	1670	3098	319	6	11	
Android SDK built for x86	2017-06-02 12:57:02	1842	2878	199	7	7	
Android SDK built for x86	2017-06-02 12:57:07	1399	2611	215	6	11	
Android SDK built for x86	2017-06-02 12:57:12	1611	3835	355	9	24	
