device	time	ONE_BY_ONE_CREATE	ONE_BY_ONE_UPDATE
Android SDK built for x86	2017-06-02 11:47:59	11197	11462	
Android SDK built for x86	2017-06-02 11:48:22	11354	9887	
Android SDK built for x86	2017-06-02 11:48:44	9686	10155	
Android SDK built for x86	2017-06-02 11:49:04	9979	9777	
Android SDK built for x86	2017-06-02 11:49:24	10359	11464	
Android SDK built for x86	2017-06-02 11:49:46	10541	9761	
Android SDK built for x86	2017-06-02 11:50:06	10379	10266	
Android SDK built for x86	2017-06-02 11:50:27	9572	12249	
Android SDK built for x86	2017-06-02 12:25:08	22413	17305	
Android SDK built for x86	2017-06-02 12:25:48	15691	13414	
Android SDK built for x86	2017-06-02 12:26:17	16025	11349	
Android SDK built for x86	2017-06-02 12:26:45	13002	10216	
Android SDK built for x86	2017-06-02 12:27:08	9527	11506	
Android SDK built for x86	2017-06-02 12:27:30	12673	8002	
Android SDK built for x86	2017-06-02 12:27:51	10736	11247	
Android SDK built for x86	2017-06-02 12:28:13	11727	9232	
