device	time	BATCH_CREATE	BATCH_UPDATE	BATCH_READ	BATCH_ACCESS	BATCH_DELETE
Android SDK built for x86	2017-06-02 11:47:19	2115	1050	160	9	14	
Android SDK built for x86	2017-06-02 11:47:23	1408	1219	323	6	6	
Android SDK built for x86	2017-06-02 11:47:26	1242	1202	285	9	22	
Android SDK built for x86	2017-06-02 11:47:30	940	976	162	9	8	
Android SDK built for x86	2017-06-02 11:47:33	1095	1138	145	8	26	
Android SDK built for x86	2017-06-02 11:47:36	946	1094	125	7	7	
Android SDK built for x86	2017-06-02 11:47:38	1147	917	139	7	6	
Android SDK built for x86	2017-06-02 11:47:41	895	902	172	6	23	
Android SDK built for x86	2017-06-02 12:24:09	3351	2598	857	21	241	
Android SDK built for x86	2017-06-02 12:24:17	3056	2993	346	9	6	
Android SDK built for x86	2017-06-02 12:24:24	1780	2649	411	24	38	
Android SDK built for x86	2017-06-02 12:24:29	1874	1695	318	7	36	
Android SDK built for x86	2017-06-02 12:24:34	949	1450	300	11	8	
Android SDK built for x86	2017-06-02 12:24:37	1335	1538	186	25	7	
Android SDK built for x86	2017-06-02 12:24:41	1207	1032	487	37	21	
Android SDK built for x86	2017-06-02 12:24:45	1519	1488	281	6	20	
